timestamp,event_slug,direction,btc_price,target_price,distance,time_left_seconds,contract_price,real_prob,implied_prob,edge,ev_per_dollar,sigma_move,volatility,payout_multiplier,should_bet,bet_placed,stake_usd,mode,outcome,pnl_usd
2026-04-02T18:35:09.307521+00:00,btc-updown-5m-1775154900,down,66679.93,66674.02,5.91,290.981293,0.465,0.477095,0.465,0.012095,-0.0214,0.061,8.5e-05,2.01,False,False,0,simulation,pending,0
2026-04-02T18:36:33.593358+00:00,btc-updown-5m-1775154900,up,66662.0,66674.02,12.02,206.715114,0.375,0.444921,0.375,0.069921,0.0699,0.148,8.5e-05,2.67,True,True,5.0,simulation,pending,0
2026-04-02T18:37:03.454305+00:00,btc-updown-5m-1775154900,down,66695.15,66674.02,21.13,176.866193,0.385,0.396587,0.385,0.011587,0.0116,0.28,8.5e-05,2.6,False,False,0,simulation,pending,0
2026-04-02T18:39:08.977414+00:00,btc-updown-5m-1775154900,down,66686.66,66674.02,12.64,51.334048,0.315,0.385584,0.315,0.070584,0.0706,0.311,8.5e-05,3.17,True,True,5.0,simulation,pending,0
2026-04-02T18:42:59.471500+00:00,btc-updown-5m-1775155200,down,66721.45,66686.95,34.5,120.915412,0.235,0.30479,0.235,0.06979,0.0698,0.553,8.5e-05,4.26,True,True,5.0,simulation,pending,0
2026-04-02T18:50:05.969661+00:00,btc-updown-5m-1775155800,down,66879.19,66860.65,18.54,294.411836,0.375,0.429254,0.375,0.054254,0.0543,0.19,8.5e-05,2.67,True,True,5.0,simulation,pending,0
2026-04-02T18:54:33.443648+00:00,btc-updown-5m-1775155800,down,66975.25,66860.65,114.6,26.846832,0.0015,0.113945,0.0015,0.112445,0.1124,1.423,0.00023211,666.67,True,True,5.0,simulation,pending,0
2026-04-02T18:54:42.565517+00:00,btc-updown-5m-1775155800,down,66997.91,66860.65,137.26,17.712757,0.0005,0.054079,0.0005,0.053579,0.0536,2.062,0.00023603,2000.0,True,True,5.0,simulation,pending,0
2026-04-02T18:54:51.766355+00:00,btc-updown-5m-1775155800,down,66997.92,66860.65,137.27,8.525801,0.0005,0.020513,0.0005,0.020013,0.02,2.973,0.00023603,2000.0,True,True,5.0,simulation,pending,0
2026-04-02T18:55:09.682256+00:00,btc-updown-5m-1775156100,up,66998.41,67000.38,1.97,290.700132,0.465,0.497211,0.465,0.032211,0.0322,0.007,0.00023188,2.15,True,True,5.0,simulation,pending,0
